"Top Sliders","أعلى المتزلجون"
"app_text_update_quantity","تحديث الكمية"
"app_text_enter_quantity","إدخال كمية"
"app_text_empty_cart","عربة الشحن الخاصة بك فارغة!"
"app_text_goto_home","الذهاب إلى الصفحة الرئيسية"
"app_text_review_your_order","راجع طلباتك"
"app_text_add_new_shipping_address","إضافة عنوان جديد"
"app_text_history","تفاصيل الشحن"
"app_text_billing_details","تفاصيل الفاتورة"
"app_text_same_as_shipping_details","نفس عنوان الشحن"
"app_text_summary","ملخص الطلب"
"app_text_shipping_methods","طرق الشحن"
"app_text_comment","أجل تعليق"
"app_text_payment_summary","ملخص الدفع"
"app_text_proceed","الشروع في دفع"
"app_text_make_payment","قم بالدفع"
"app_text_congratulations","تهانينا"
"app_text_shipping_addresses","الشحن عنوان (الصورة)"
"app_text_billing_addresses","عنوان الفواتير (ق)"
"app_text_addresses","عنوان (الصورة)"
"app_text_order_detail","تفاصيل الطلب"
"app_text_update_personal","تحديث تفاصيل الشخصية"
"app_text_update_password","تطوير كلمة السر"
"app_text_current_password","كلمة المرور الحالي"
"app_text_new_password","كلمة مرور جديدة"
"app_text_confirm_password","تأكيد كلمة المرور"
"app_text_cancel","إلغاء"
"app_text_save","حفظ"
"app_text_order_ref","ترتيب المرجعي"
"app_text_status","الحالة"
"app_text_placed","موضوع على"
"app_text_reorder","إعادة ترتيب"
"app_text_order_details","تفاصيل الطلب"
"app_text_status_history","سجل الحالة"
"app_text_shipping_address","عنوان الشحن"
"app_text_billing_address","عنوان وصول الفواتير"
"app_text_order_summary","ملخص الطلب"
"app_text_shipping_method","طريقة الشحن"
"app_text_payment_method","طريقة الدفع او السداد"
"app_text_gift_wrapping","تغليف الهدايا"
"app_text_no_shipping_address","أي عنوان الشحن المتاحة!"
"app_text_no_order_details","تفاصيل أي أمر متاح!"
"app_text_signup","سجل"
"app_text_continue_guest","تواصل كضيف"
"app_text_email","البريد الإلكتروني"
"app_text_password","كلمه السر"
"app_text_forgot_password","هل نسيت كلمة المرور"
"app_text_login_social_account","يمكنك الدخول بحساب الاجتماعي."
"app_text_login_with_google","تسجيل الدخول باستخدام + Google"
"app_text_login_with_facebook","تسجيل الدخول باستخدام الفيسبوك"
"app_text_signup_with_google","الاشتراك في + Google"
"app_text_signup_with_facebook","اشترك عبر حساب فايسبوك"
"app_text_msg_enter_valid_email","الرجاء إدخال بريد إلكتروني صحيح!"
"app_text_msg_enter_email","يرجى إدخال البريد الإلكتروني!"
"app_text_msg_enter_password","الرجاء إدخال كلمة السر!"
"app_text_msg_password_characters_less_than_3","الرجاء إدخال كلمة المرور وجود أحرف أكثر من أو يساوي 3!"
"app_text_msg_first_name","الاسم الاول"
"app_text_msg_last_name","الكنية"
"app_text_msg_dob","تاريخ الولادة"
"app_text_msg_confirm_password","تأكيد كلمة المرور"
"app_text_msg_personal_details","تفاصيل شخصية"
"app_text_msg_pass_not_matched","كلمة المرور وتأكيد كلمة المرور لا يقابل!"
"app_text_sold_by","تم بيعها من قبل:"
"app_text_write_review","أكتب مراجعة"
"app_text_view_review","عرض التعليق (ق)"
"app_text_view_seller_products","عرض بائع المنتج (ق)"
"app_text_wait","أرجو الإنتظار"
"app_text_loading","تحميل البيانات..."
"app_text_msg_went_wrong","هناك خطأ ما. حاول مرة اخرى."
"app_text_msg_no_internet_found","العثور على أي اتصال بالإنترنت."
"app_text_msg_no_internet_title","لا انترنت"
"app_text_msg_request","طلب لا يمكن أن يكون عملية. قد يكون هذا بسبب بطء الاتصال بالانترنت."
"app_text_msg_order_placed_email","وقد وضعت طلبك بنجاح. سوف تتلقى البريد الإلكتروني فيما يتعلق نفسه."
"app_text_msg_product_look","يمكنك البحث عن المنتج (ق) من فئتها."
"app_text_msg_search_product","يمكنك البحث عن أي منتج في مخزن بواسطة النص أو الصوت!"
"app_text_msg_view_cart","يمكنك عرض عربة التسوق مع كمية!"
"app_text_msg_logout","كنت الخروج بنجاح!"
"app_text_msg_view_product","يمكنك عرض المنتج في القائمة أو وضع الشبكة!"
"app_text_msg_sort_product","يمكنك فرز المنتج من قبل سعرها!"
"app_text_msg_filter_product","كما يمكنك تحديد المنتج (ق) وفقا للحاجة الخاصة بك!"
"app_text_text_next","التالى"
"app_text_text_okay","حسنا"
"app_text_required","مطلوب"
"app_text_msg_rating","الرجاء تحديد تصنيف"
"app_text_msg_add_cart","يمكنك إضافة المنتج إلى سلة التسوق ببساطة عن طريق النقر على زر \ 'إضافة إلى العربة \'!"
"app_text_msg_add_wishlist","يمكنك إضافة المنتج إلى سلة ببساطة عن طريق النقر على زر \ 'اضف الى قائمة الامنيات \'!"
"app_text_msg_product_price","تم تحديث سعر المنتج!"
"app_text_msg_product_not_available","هذا المنتج غير متوفر للطلب!"
"app_text_msg_combination","عدم وجود هذا الجمع لهذا المنتج. الرجاء تحديد مجموعة أخرى."
"app_text_msg_product_no_stock","هذا المنتج غير متوفر في الكمية المطلوبة أم لا في الأسهم!"
"app_text_msg_out_stock","بعض المنتجات في العربة ليست متاحة في الكمية المطلوبة أم لا في الأوراق المالية. الرجاء إزالة هذا المنتج (ق) من السلة"
"app_text_msg_checkout_products","يمكنك الخروج المنتجات في عربة التسوق ببساطة عن طريق النقر على زر \ 'الاستمرار في الخروج \'."
"app_text_msg_apply_voucher","يمكنك تقديم طلب قسيمة لعربة التسوق!"
"app_text_msg_update_quantity","يمكنك تحديث كمية من المنتج أو إزالته من عربة التسوق!"
"app_text_msg_view_details","يمكنك عرض تفاصيل المنتج من خلال النقر على صورة المنتج!"
"app_text_msg_success","نجاح!"
"app_text_msg_failure","بالفشل!"
"app_text_msg_enter_quantity","الرجاء إدخال كمية"
"app_text_quantity","كمية"
"app_text_remove","إزالة"
"app_text_customization_details","تفاصيل التخصيص"
"app_text_msg_add_address","يمكنك إضافة عنوان الشحن الجديد من خلال النقر على زر!"
"app_text_msg_update_address","يمكنك تحديث عنوان الشحن!"
"app_text_msg_select_address","يمكنك تحديد أي عنوان الشحن بمجرد النقر على ذلك!"
"app_text_select_address_text","* الرجاء اختيار عنوان الشحن لمراجعة طلبك."
"app_text_msg_no_product","لا توجد منتجات المتاحة!"
"app_text_msg_no_comment_available","لا تعليق (تعليقات) متوفرة!"
"app_text_msg_reset_password","يمكنك إعادة تعيين كلمة المرور الخاصة بك عن طريق النقر `نسيت Password`"
"app_text_msg_login","يمكنك الدخول إلى المتجر من هنا!"
"app_text_msg_login_fb","يمكنك أيضا تسجيل الدخول إلى المتجر من حساب الفيسبوك الخاص بك!"
"app_text_msg_login_google","يمكنك أيضا تسجيل الدخول إلى المتجر من حساب Google الخاص بك!"
"app_text_msg_update_profile",""يمكنك تحديث تفاصيل ملفك الشخصي"
"app_text_product_info_and_care","معلومات المنتج والعناية"
"app_text_download","تحميل"
"app_text_minimal_quantity","الحد الأدنى من الكمية"
"app_text_seller_details","تفاصيل البائع"
"app_text_pack_content","حزمة المحتوى"
"app_text_submit","إرسال"
"app_text_msg_forget_password","أدخل عنوان البريد الالكتروني المرتبط بحسابك. انقر فوق تقديم لديك كلمة السر بالبريد الإلكتروني لك."
"app_text_enter_your_email","ادخل بريدك الإلكتروني"
"app_text_reset_password","إعادة تعيين كلمة المرور"
"app_text_view_selected_filter","يمكنك عرض نتيجة التصفية المحدد من خلال النقر على هذه الصورة!"
"app_text_clear_selected_filter","يمكنك مسح مرشح التطبيقية من خلال النقر على هذه الصورة!"
"app_text_no_filter","لا المرشحات"
"app_text_phone_number_required","* يجب عليك تسجيل رقم هاتف واحد على الأقل"
"app_text_refresh","تحديث"
"app_text_internet_connection_failed","اتصال إنترنت فشل!"
"app_text_internet_connection_problem","قد يكون هناك بعض المشاكل مع اتصال الإنترنت الخاص بك. يرجى المراجعة."
"app_text_cancel_transaction","إلغاء الصفقة"
"app_text_middle_of_payment","كنت في منتصف عملية معاملات الدفع الخاصة بك. هل تريد حقا إلغاء المعاملات الخاصة بك؟"
"app_text_yes","نعم"
"app_text_no","لا"
"app_text_enter_your_comment","أدخل تعليقك"
"app_text_msg_shipping_methods_unavailable",""بالنسبة لبعض المنتجات (ق)"
"app_text_msg_select_shipping_methods","يرجى تحديد طريقة الشحن"
"app_text_share_log","حصة دخول"
"app_text_error_minimum_value","أدخل أكبر قيمة من 0"
"app_text_payment_failed_contact_support","لا يمكن معالجة طلبك. الاتصال بالدعم يرجى لأي استفسار"
"app_text_currency","العملة (العملات)"
"app_text_choose_payment_method","اختر وسيلة الدفع"
"app_text_no_payment_method","لا طريقة الدفع (ق) وجدت!"
"app_text_no_payment_currently","لا توجد طريقة الدفع حاليا."
"app_text_no_make_payment","كنت فاز \ 'ر تكون قادرة على تسديد لأن هذا التطبيق المحمول هو الإعداد للعرض الغرض."
"app_text_make_payment_after_select","يمكن إجراء الدفع بعد اختيار أي طريقة الدفع!"
"app_text_title_paypal_payment","الدفع باي بال"
"app_text_order_total_price","أجل السعر الإجمالي"
"app_text_user_cancelled_the_payment","إلغاء المستخدم الدفع"
"app_text_invalid_payment_try_again","دفع صالح. محاولة بلطف مرة أخرى"
"app_text_text_skip","تخطى"
"app_text_wishlist_item_removed","البند إزالتها من سلة."
"app_text_wishlist_item_added","واضاف الى قائمة الامنيات البند"
"app_text_subject","يا التحقق من ذلك!"
"app_text_text_extra_share","متاح هنا:"
"app_text_share_intent_title","شارك"
"app_text_error_product_name_url","قد يكون اسم المنتج أو رابط فارغة."
"app_text_tag_error","خطأ"
"app_text_demo_app_user_form","يرجى ملء التفاصيل!"
"app_text_full_name_demo_app_user","اسمك*"
"app_text_email_demo_app_user","البريد الإلكتروني*"
"app_text_store_url_demo_app_user","متجر URL *"
"app_text_continue_demo_app_user_form","استمر"
"app_text_invalid_url","مخزن URL غير صالح!"
"app_text_invalid_email","بريد إلكتروني خاطئ!"
"app_text_sellers","الباعة"
"app_text_seller","تاجر"
"app_text_seller_shipping_policy","سياسة الشحن"
"app_text_seller_return_policy","سياسة العائدات"
"app_text_review_title","عنوان *"
"app_text_review_comment","تعليق *"
"app_text_review_rating","تقييم *"
"app_text_filter_products","تصفية المنتج (ق)"
"app_text_select_category","اختر الفئة"
"app_text_select_sort","تحديد ترتيب"
"app_text_clear","واضح"
"app_text_edit","تعديل"
"app_text_cart","عربة التسوق"
"app_text_move_to_cart","انتقل الكرت"
"app_text_no_shipping_method_available","لا أسلوب الشحن المتوفرة"
"app_text_module_not_installed","يرجى الاتصال بمسؤول الموقع لعرض البيانات على هذه الصفحة."
"app_text_no_data_found","لاتوجد بيانات!"
"app_text_enter_coupon_code","أدخل رمز القسيمة"
"app_text_apply_coupon","تطبيق القسيمة"
"app_text_add_more_in_cart","إضافة المزيد في عربة إلى مكان هذا النظام"
"app_text_shipping_details","تفاصيل الشحن"
"app_text_choose_app_theme","اختر التطبيقات الموضوع"
"app_text_enter_store_url","أدخل URL متجرك"
"app_text_sample_store_url","مثال: http://your_store.com/"
"app_text_downloads","التحميلات"
"app_text_done","منجز"
"app_text_posted_on","نشر على:"
"app_text_commented_by","وعلق بواسطة:"
"app_text_seller_comment","تعليق:"
"app_text_open","افتح"
"app_text_order_status","افتح"
"app_text_special_products","المنتجات الخاصة"
"app_text_product_information","معلومات المنتج"
"app_text_featured_products","ميزة المنتجات"
"app_text_requested_gift_order","لقد طلبت تغليف الهدايا لهذا النظام"
"app_text_step_one_of_three","الخطوة 1/3"
"app_text_review_checkout","مراجعة الخروج"
"app_text_your_wishlist_is_empty","قائمة رغباتك فارغة!"
"app_text_no_shipping_method","لا أسلوب الشحن المتوفرة"
"app_text_no_order_found","لا ترتيب وجدت!"
"app_text_percent_off","٪ إيقاف"
"app_text_coupon_length_validation","يجب أن تكون الأحرف رمز القسيمة أكبر من أو يساوي إلى 4."
"app_text_coupon_code_removed","تمت إزالة قسيمة خصم بنجاح!"
"app_text_facebook_login_cancelled","تم إلغاء الفيسبوك تسجيل الدخول."
"app_text_facebook_login_failure","الفيسبوك الدخول الفشل:"
"app_text_login_failed","فشل عملية الدخول!"
"app_text_wrong_url_install_mab","كنت قد دخلت URL غير صحيح أو لم تكن قد قمت بتثبيت لدينا النقالة التطبيقات وحدة البناء."
"app_text_install_module","تثبيت وحدة"
"app_text_text_loading","جار التحميل"
"app_text_text_exception","استثناء:"
"app_text_msg_reset_password_click","يمكنك إعادة تعيين كلمة المرور الخاصة بك عن طريق النقر على \ 'نسيت كلمة المرور \'!"
"app_text_login_from_here","يمكنك الدخول إلى المتجر من هنا!"
"app_text_login_from_facebook_account","يمكنك أيضا تسجيل الدخول إلى المتجر من حساب الفيسبوك الخاص بك!"
"app_text_login_from_google_account","يمكنك أيضا تسجيل الدخول إلى المتجر من حساب Google الخاص بك!"
"app_text_text_warning","تحذير!"
"app_text_update_address_if_exists","يمكنك تحديث عنوان الشحن أو اختيار أي عنوان آخر في حالة وجود!"
"app_text_continue_to_checkout_click_msg","يمكنك الخروج المنتجات في عربة التسوق ببساطة عن طريق النقر على زر \ 'الاستمرار في الخروج \'!"
"app_text_please_enter_store_url","الرجاء إدخال URL مخزن"
"app_text_product_not_desired_quantity","بعض المنتجات في العربة ليست متاحة في الكمية المطلوبة أم لا في الأوراق المالية. الرجاء إزالة هذا المنتج (ق) من السلة"
"app_text_select_shipping_methods","حدد أسلوب الشحن (ق)"
"app_text_send_email","ارسل بريد الكتروني..."
"app_text_error_in_google_sign_in","بعض الخطأ في جوجل login.Please حاول مرة أخرى."
"app_text_process_payment_problem","حدث خطأ أثناء معالجة بعض الدفع. يرجى المحاولة مرة أخرى."
"app_text_text_state","حالة"
"app_text_update_address","تحديث عنوان"
"app_text_unit_price","سعر الوحدة"
"app_text_total_price","السعر الكلي"
"app_text_text_totals","المجاميع"
"app_text_text_success","نجاح!"
"app_text_sale","تخفيض السعر"
"app_text_new","جديد"
"app_text_share_api_log","سجل API حصة"
"app_text_report_via_email","نقل"
"app_text_view_your_store","عرض مخزن لديك"
"app_text_view_demo","عرض تجريبي"
"app_text_search","بحث"
"app_text_wishlist","قائمة الرغبات"
"app_text_select_language","اختار اللغة"
"app_text_select_font","حدد الخط"
"app_text_share_feedback","حصة ردود الفعل / طلب تغيير مخصص"
"app_text_enter_state","إدخال الدولة"
"app_text_choose_your_app_theme","اختر التطبيقات الموضوع"
"app_text_terms_and_conditions","شزوط واشتراطات الاستخدام"
"app_text_wishlist_only","قائمة الرغبات"
"app_text_wishlist_remove","إزالة من قائمة الامنيات"
"app_text_state_not_required","الدولة ليست مطلوبة للبلد المحدد"
"app_text_currencies","العملة (العملات)"
"app_text_payment_failed","حدث خطأ أثناء معالجة بعض الدفع. محاولة بلطف مرة أخرى"
"app_text_entered_wrong_url","كنت قد دخلت URL غير صحيح أو لم تقم بتثبيت موقعنا المحمول bodule التطبيق البناء."
"app_text_fill_all_required_fields","يرجى تعبئة جميع الحقول المطلوبة."
"app_text_extra_share","متاح هنا:"
"app_text_intent_title","شارك"
"app_text_ok","حسنا"
"app_text_explore_the_app","استكشاف التطبيقات"
"app_text_hour","ساعة"
"app_text_min","الدقائق"
"app_text_sec","ثواني"
"app_text_install_whatsapp","لم يتم تثبيت واتس اب على جهازك"
"app_text_no_account_registered","يتم تسجيل أي حساب للمصادقة البيومترية في هذا الجهاز. يرجى تسجيل حساب جديد أولا."
"app_text_confirm_for_authentication","تأكيد بصمتك أو وجها لمصادقة."
"app_text_login_with_fingerprint","تسجيل الدخول مع بصمات الأصابع"
"app_text_register_for_fingerprint","سجل للحصول على بصمة الدخول"
"app_text_biometric_not_available","التوثيق التعريفية غير متوفرة لهذا الجهاز."
"app_text_fingerprint_not_recognized","اتصال ID لا تعترف بصمتك. يرجى المحاولة مرة أخرى مع بصمة أدرجت أسماؤهم الخاص بك."
"app_text_face_not_recognizes","لا تعترف وجه ID وجهك. يرجى المحاولة مرة أخرى مع الوجه المسجلين بك."
"app_text_fingerprint_or_face_not_enrolled","لا بصمات / وجه المسجلين في الجهاز."
"app_text_biometry_locked_out","وتخوض وظيفة الآن بسبب العديد من المحاولات الفاشلة."
"app_text_register_for_fingerpring","سجل للحصول على بصمات الأصابع"
"app_text_register_for_fingerprint_details","هل ترغب في تسجيل هذا الحساب حصول على وظائف بصمات الأصابع. وبمجرد القيام به يمكنك الدخول إلى هذا الحساب دون استخدام رقم البريد الإلكتروني أو كلمة المرور فقط باستخدام التحقق من بصماته."
"app_text_register","تسجيل"
"app_text_verify","تحقق"
"app_text_get_otp","الحصول على OTP"
"app_text_mobile_number","رقم الهاتف المحمول"
"app_text_mobile_number_optional","رقم الجوال (اختياري)"
"app_text_error_number_verification","ولم يتسن التحقق من رقم هاتفك المحمول! يرجى المحاولة مرة أخرى مع عدد OTP الصحيح!"
"app_text_phone_number_already_exists","مسجلة بالفعل رقم الهاتف. يرجى المحاولة مرة أخرى مع رقم هاتف آخر!"
"app_text_number_verification","رقم التحقق"
"app_text_number_verification_description","تحتاج إلى التحقق من رقم الهاتف. يرجى إدخال رقم الهاتف وتقديم"
"app_text_login_with_phone_number","تسجيل الدخول مع رقم الهاتف"
"app_text_forget_password_description","أدخل عنوان البريد الإلكتروني أو رقم الهاتف المرتبط بحسابك."
"app_text_enter_email_or_mobile_number","أدخل البريد الإلكتروني أو رقم الهاتف المحمول"
"app_text_phone_number_change_message","يتم تسجيل واحد رقم الهاتف بالفعل مع هذا الحساب. يمكنك فقط تغيير رقم الاتصال. الرجاء إدخال رقم هاتف صحيح."
"app_text_enter_otp","أدخل OTP"
"app_text_related_products","منتجات ذات صله"
"app_text_view_reviews","عرض آراء"
"app_text_write_reviews","استعراض الكتابة"
"app_text_please_fill_all_details","يرجى ملء جميع التفاصيل"
"app_text_close","قريب"
"app_text_add_review","إضافة مراجعة"
"app_text_write_a_review","أكتب مراجعة"
"app_text_nick","شق"
"app_text_title","عنوان"
"app_text_no_reviews","لا يوجد تعليقات لهذا المنتج"
"app_text_number_of_reviews","عدد من الاستعراضات"
"app_text_minimum_rating","الرجاء إضافة الحد الأدنى تصنيف"
"app_text_error","خطأ"
"app_text_no_reviews","لم يتم تقديم تعليقات"
